date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2019-10-20,Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field,T20,2019/20,Oman
2019-10-21,Papua New Guinea,Scotland,ICC Academy,Scotland,bat,T20,2019/20,Scotland
2019-10-21,United Arab Emirates,Hong Kong,Sheikh Zayed Stadium,Hong Kong,bat,T20,2019/20,United Arab Emirates
2019-10-21,Ireland,Oman,Tolerance Oval,Oman,field,T20,2019/20,Ireland
2019-10-21,Bermuda,Kenya,ICC Academy,Kenya,bat,T20,2019/20,Kenya
2019-10-21,Canada,Nigeria,Sheikh Zayed Stadium,Canada,bat,T20,2019/20,Canada
2019-10-22,Netherlands,Singapore,ICC Academy,Singapore,bat,T20,2019/20,Netherlands
2019-10-22,Namibia,Scotland,ICC Academy,Namibia,bat,T20,2019/20,Namibia
2019-10-22,United Arab Emirates,Jersey,Tolerance Oval,Jersey,bat,T20,2019/20,Jersey
2019-10-23,Canada,Ireland,Sheikh Zayed Stadium,Canada,bat,T20,2019/20,Canada
2019-10-23,Nigeria,Oman,Tolerance Oval,Nigeria,bat,T20,2019/20,Oman
2019-10-23,Bermuda,Namibia,ICC Academy Ground No 2,Namibia,field,T20,2019/20,Namibia
2019-10-23,Hong Kong,Jersey,Sheikh Zayed Stadium,Hong Kong,bat,T20,2019/20,Hong Kong
2019-10-23,Kenya,Singapore,ICC Academy Ground No 2,Singapore,bat,T20,2019/20,Kenya
2019-10-24,Netherlands,Papua New Guinea,ICC Academy,Netherlands,bat,T20,2019/20,Papua New Guinea
2019-10-24,United Arab Emirates,Nigeria,Tolerance Oval,United Arab Emirates,field,T20,2019/20,United Arab Emirates
2019-10-24,Canada,Hong Kong,Tolerance Oval,Hong Kong,bat,T20,2019/20,Hong Kong
2019-10-24,Bermuda,Scotland,Dubai International Cricket Stadium,Bermuda,field,T20,2019/20,Scotland
2019-10-25,Canada,Oman,Sheikh Zayed Stadium,Canada,bat,T20,2019/20,Oman
2019-10-25,Kenya,Namibia,Dubai International Cricket Stadium,Namibia,bat,T20,2019/20,Namibia
2019-10-25,Ireland,Jersey,Tolerance Oval,Ireland,field,T20,2019/20,Ireland
2019-10-25,Spain,Portugal,La Manga Club Bottom Ground,Spain,field,T20,2019/20,Spain
2019-10-25,Papua New Guinea,Singapore,Dubai International Cricket Stadium,Singapore,field,T20,2019/20,Papua New Guinea
2019-10-26,Namibia,Singapore,Dubai International Cricket Stadium,Singapore,field,T20,2019/20,Namibia
2019-10-26,Gibraltar,Portugal,La Manga Club Bottom Ground,Gibraltar,bat,T20,2019/20,Portugal
2019-10-26,Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,T20,2019/20,Spain
2019-10-26,Spain,Portugal,La Manga Club Bottom Ground,Portugal,field,T20,2019/20,Spain
2019-10-26,Ireland,Nigeria,Sheikh Zayed Stadium,Nigeria,bat,T20,2019/20,Ireland
2019-10-26,Bermuda,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,T20,2019/20,Netherlands
2019-10-27,Netherlands,Scotland,Dubai International Cricket Stadium,Netherlands,field,T20,2019/20,Netherlands
2019-10-27,Jersey,Oman,Sheikh Zayed Stadium,Oman,field,T20,2019/20,Jersey
2019-10-27,Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,T20,2019/20,Spain
2019-10-27,Kenya,Papua New Guinea,Dubai International Cricket Stadium,Kenya,field,T20,2019/20,Papua New Guinea
2019-10-27,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,T20,2019/20,Australia
2019-10-27,United Arab Emirates,Canada,Sheikh Zayed Stadium,Canada,field,T20,2019/20,United Arab Emirates
2019-10-27,Hong Kong,Nigeria,Tolerance Oval,Nigeria,bat,T20,2019/20,Hong Kong
2019-10-29,United Arab Emirates,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,bat,T20,2019/20,Netherlands
2019-10-29,Namibia,Oman,Dubai International Cricket Stadium,Namibia,bat,T20,2019/20,Namibia
2019-10-30,Hong Kong,Oman,Dubai International Cricket Stadium,Oman,bat,T20,2019/20,Oman
2019-10-30,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,T20,2019/20,Australia
2019-10-30,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,bat,T20,2019/20,Scotland
2019-10-31,Oman,Scotland,ICC Academy,Oman,bat,T20,2019/20,Scotland
2019-11-01,New Zealand,England,Hagley Oval,England,field,T20,2019/20,England
2019-11-01,Namibia,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,T20,2019/20,Papua New Guinea
2019-11-01,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,T20,2019/20,Netherlands
2019-11-01,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,T20,2019/20,Australia
2019-11-02,Netherlands,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,T20,2019/20,Netherlands
2019-11-02,Ireland,Namibia,Dubai International Cricket Stadium,Ireland,bat,T20,2019/20,Ireland
2019-11-03,Australia,Pakistan,Sydney Cricket Ground,Australia,field,T20,2019/20,No Result
2019-11-03,New Zealand,England,Westpac Stadium,England,field,T20,2019/20,New Zealand
2019-11-03,India,Bangladesh,Arun Jaitley Stadium,Bangladesh,field,T20,2019/20,Bangladesh
2019-11-05,Australia,Pakistan,Manuka Oval,Pakistan,bat,T20,2019/20,Australia
2019-11-05,New Zealand,England,Saxton Oval,New Zealand,bat,T20,2019/20,New Zealand
2019-11-07,India,Bangladesh,Saurashtra Cricket Association Stadium,India,field,T20,2019/20,India
2019-11-08,Australia,Pakistan,Perth Stadium,Australia,field,T20,2019/20,Australia
2019-11-08,New Zealand,England,McLean Park,New Zealand,field,T20,2019/20,England
2019-11-10,New Zealand,England,Eden Park,England,field,T20,2019/20,No Result
2019-11-10,India,Bangladesh,"Vidarbha Cricket Association Stadium, Jamtha",Bangladesh,field,T20,2019/20,India
2019-11-14,Afghanistan,West Indies,Lucknow,,,T20,2019,West Indies
2019-11-16,Afghanistan,West Indies,Lucknow,,,T20,2019,Afghanistan
2019-11-17,Afghanistan,West Indies,Lucknow,,,T20,2019,Afghanistan
2019-12-05,Nepal,Bhutan,Tribhuvan University International Cricket Ground,Bhutan,field,T20,2019/20,Nepal
2019-12-06,India,West Indies,"Rajiv Gandhi International Stadium, Uppal",India,field,T20,2019/20,India
2019-12-06,Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,bat,T20,2019/20,Nepal
2019-12-07,Bhutan,Maldives,Tribhuvan University International Cricket Ground,Maldives,field,T20,2019/20,Maldives
2019-12-08,India,West Indies,Greenfield International Stadium,West Indies,field,T20,2019/20,West Indies
2019-12-09,Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,field,T20,2019/20,Nepal
2019-12-11,India,West Indies,Wankhede Stadium,West Indies,field,T20,2019/20,India
2020-01-07,India,Sri Lanka,Holkar Cricket Stadium,India,field,T20,2019/20,India
2020-01-10,India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,field,T20,2019/20,India
2020-01-15,West Indies,Ireland,"National Cricket Stadium, Grenada",Ireland,bat,T20,2019/20,Ireland
2020-01-18,West Indies,Ireland,"Warner Park, St Kitts",West Indies,field,T20,2019/20,No Result
2020-01-19,West Indies,Ireland,"Warner Park, St Kitts",West Indies,field,T20,2019/20,West Indies
2020-01-24,Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,T20,2019/20,Pakistan
2020-01-24,New Zealand,India,Eden Park,India,field,T20,2019/20,India
2020-01-25,Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,T20,2019/20,Pakistan
2020-01-26,New Zealand,India,Eden Park,New Zealand,bat,T20,2019/20,India
2020-01-29,New Zealand,India,Seddon Park,New Zealand,field,T20,2019/20,No Result
2020-01-31,New Zealand,India,Westpac Stadium,New Zealand,field,T20,2019/20,No Result
2020-02-02,New Zealand,India,Bay Oval,India,bat,T20,2019/20,India
2020-02-12,South Africa,England,Buffalo Park,England,field,T20,2019/20,South Africa
2020-02-14,South Africa,England,Kingsmead,South Africa,field,T20,2019/20,England
2020-02-16,South Africa,England,SuperSport Park,South Africa,bat,T20,2019/20,England
2020-02-20,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2020-02-21,South Africa,Australia,The Wanderers Stadium,South Africa,field,T20,2019/20,Australia
2020-02-21,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2020-02-23,South Africa,Australia,St George's Park,South Africa,bat,T20,2019/20,South Africa
2020-02-23,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2020-02-24,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2020-02-25,Iran,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,T20,2019/20,Kuwait
2020-02-25,Bahrain,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,bat,T20,2019/20,Bahrain
2020-02-25,Saudi Arabia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,T20,2019/20,United Arab Emirates
2020-02-25,Oman,Maldives,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2019/20,Oman
2020-02-26,Malaysia,Hong Kong,Kinrara Academy Oval,Hong Kong,bat,T20,2019/20,Malaysia
2020-02-26,South Africa,Australia,Newlands,South Africa,field,T20,2019/20,Australia
2020-02-26,Kuwait,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,T20,2019/20,Kuwait
2020-02-26,Qatar,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,T20,2019/20,United Arab Emirates
2020-02-27,Kuwait,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,field,T20,2019/20,United Arab Emirates
2020-02-29,Thailand,Singapore,Terdthai Cricket Ground,Thailand,field,T20,2019/20,Singapore
2020-03-01,Hong Kong,Nepal,Terdthai Cricket Ground,Nepal,field,T20,2019/20,Hong Kong
2020-03-01,Thailand,Malaysia,Terdthai Cricket Ground,Thailand,bat,T20,2019/20,Malaysia
2020-03-03,Malaysia,Singapore,Terdthai Cricket Ground,Singapore,bat,T20,2019/20,Singapore
2020-03-03,Thailand,Hong Kong,Terdthai Cricket Ground,Thailand,bat,T20,2019/20,Hong Kong
2020-03-04,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,T20,2019/20,West Indies
2020-03-04,Hong Kong,Singapore,Terdthai Cricket Ground,Singapore,bat,T20,2019/20,Singapore
2020-03-04,Thailand,Nepal,Terdthai Cricket Ground,Thailand,bat,T20,2019/20,Nepal
2020-03-06,Afghanistan,Ireland,Greater Noida,,,T20,2020,Afghanistan
2020-03-06,Hong Kong,Malaysia,Terdthai Cricket Ground,Malaysia,bat,T20,2019/20,Hong Kong
2020-03-06,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,T20,2019/20,West Indies
2020-03-08,Afghanistan,Ireland,Greater Noida,,,T20,2020,Afghanistan
2020-03-08,Spain,Germany,Desert Springs Cricket Ground,Spain,field,T20,2019/20,Spain
2020-03-08,Spain,Germany,Desert Springs Cricket Ground,Spain,field,T20,2019/20,Germany
2020-03-09,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,T20,2019/20,Bangladesh
2020-03-10,Afghanistan,Ireland,Greater Noida,,,T20,2020,No Result
2020-03-11,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,T20,2019/20,Bangladesh
2020-08-21,Isle of Man,Guernsey,College Field,Isle of Man,bat,T20,2020,Guernsey
2020-08-28,England,Pakistan,Old Trafford,Pakistan,field,T20,2020,No Result
2020-08-29,Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,T20,2020,Belgium
2020-08-30,Pakistan,England,Old Trafford,England,field,T20,2020,England
2020-08-30,Belgium,Czech Republic,Pierre Werner Cricket Ground,Belgium,bat,T20,2020,Belgium
2020-08-30,Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,T20,2020,Belgium
2020-09-01,Pakistan,England,Old Trafford,England,field,T20,2020,Pakistan
2020-09-04,England,Australia,The Rose Bowl,Australia,field,T20,2020,England
2020-09-06,Australia,England,The Rose Bowl,Australia,bat,T20,2020,England
2020-09-08,England,Australia,The Rose Bowl,Australia,field,T20,2020,Australia
2020-10-16,Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,T20,2020/21,Bulgaria
2020-10-17,Romania,Bulgaria,Moara Vlasiei Cricket Ground,Romania,bat,T20,2020/21,Romania
2020-10-18,Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,T20,2020/21,Romania
2020-11-07,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,T20,2020/21,Pakistan
2020-11-08,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,T20,2020/21,Pakistan
2020-11-10,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,T20,2020/21,Pakistan
2020-11-27,West Indies,New Zealand,Eden Park,New Zealand,field,T20,2020/21,New Zealand
2020-11-27,South Africa,England,Newlands,England,field,T20,2020/21,England
2020-11-29,South Africa,England,Boland Park,England,field,T20,2020/21,England
2020-11-29,New Zealand,West Indies,Bay Oval,West Indies,field,T20,2020/21,New Zealand
2020-11-30,West Indies,New Zealand,Bay Oval,New Zealand,field,T20,2020/21,No Result
2020-12-01,South Africa,England,Newlands,South Africa,bat,T20,2020/21,England
2020-12-04,India,Australia,Manuka Oval,Australia,field,T20,2020/21,India
2020-12-06,Australia,India,Sydney Cricket Ground,India,field,T20,2020/21,India
2020-12-08,Australia,India,Sydney Cricket Ground,India,field,T20,2020/21,Australia
2020-12-18,Pakistan,New Zealand,Eden Park,Pakistan,bat,T20,2020/21,New Zealand
2020-12-20,Pakistan,New Zealand,Seddon Park,Pakistan,bat,T20,2020/21,New Zealand
2020-12-22,New Zealand,Pakistan,McLean Park,Pakistan,field,T20,2020/21,Pakistan
2021-02-11,Pakistan,South Africa,Gaddafi Stadium,South Africa,field,T20,2020/21,Pakistan
2021-02-13,Pakistan,South Africa,Gaddafi Stadium,South Africa,field,T20,2020/21,South Africa
2021-02-14,South Africa,Pakistan,Gaddafi Stadium,Pakistan,field,T20,2020/21,Pakistan
2021-02-22,New Zealand,Australia,Hagley Oval,Australia,field,T20,2020/21,New Zealand
2021-02-25,New Zealand,Australia,University Oval,Australia,field,T20,2020/21,New Zealand
2021-03-03,Australia,New Zealand,Westpac Stadium,New Zealand,field,T20,2020/21,Australia
2021-03-03,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",West Indies,field,T20,2020/21,West Indies
2021-03-05,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,T20,2020/21,Sri Lanka
2021-03-05,Australia,New Zealand,Westpac Stadium,Australia,bat,T20,2020/21,Australia
2021-03-07,Australia,New Zealand,Sky Stadium,Australia,bat,T20,2020/21,New Zealand
2021-03-07,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,T20,2020/21,West Indies
2021-03-12,India,England,Narendra Modi Stadium,England,field,T20,2020/21,England
2021-03-14,England,India,Narendra Modi Stadium,India,field,T20,2020/21,India
2021-03-16,India,England,Narendra Modi Stadium,England,field,T20,2020/21,England
2021-03-17,Afghanistan,Zimbabwe,Abu Dhabi,,,T20,2021,Afghanistan
2021-03-18,India,England,Narendra Modi Stadium,England,field,T20,2020/21,India
2021-03-19,Afghanistan,Zimbabwe,Abu Dhabi,,,T20,2021,Afghanistan
2021-03-20,Afghanistan,Zimbabwe,Abu Dhabi,,,T20,2021,Afghanistan
2021-03-20,India,England,Narendra Modi Stadium,England,field,T20,2020/21,India
2021-03-28,New Zealand,Bangladesh,Seddon Park,New Zealand,bat,T20,2020/21,New Zealand
2021-03-30,New Zealand,Bangladesh,McLean Park,Bangladesh,field,T20,2020/21,New Zealand
2021-04-01,New Zealand,Bangladesh,Eden Park,Bangladesh,field,T20,2020/21,New Zealand
2021-04-03,Uganda,Namibia,Wanderers,Uganda,bat,T20,2021,Namibia
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,T20,2021,Namibia
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,T20,2021,Namibia
2021-04-10,South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",South Africa,bat,T20,2021,Pakistan
2021-04-12,Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",Pakistan,bat,T20,2021,South Africa
2021-04-14,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,T20,2021,Pakistan
2021-04-16,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,T20,2021,Pakistan
2021-04-17,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2021,Nepal
2021-04-18,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,T20,2021,Netherlands
2021-04-19,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2021,Nepal
2021-04-20,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,T20,2021,Netherlands
2021-04-21,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2021,Pakistan
2021-04-21,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,T20,2021,No Result
2021-04-22,Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,T20,2021,Nepal
2021-04-23,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,T20,2021,Zimbabwe
2021-04-24,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,T20,2021,Nepal
2021-04-25,Pakistan,Zimbabwe,Harare Sports Club,Pakistan,bat,T20,2021,Pakistan
2021-05-21,Luxembourg,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,T20,2021,Czech Republic
2021-05-22,Czech Republic,Luxembourg,"Scott Page Field, Vinor",Luxembourg,field,T20,2021,Luxembourg
2021-05-22,Austria,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,T20,2021,Austria
2021-05-23,Czech Republic,Austria,"Scott Page Field, Vinor",Czech Republic,bat,T20,2021,Austria
2021-05-23,Austria,Luxembourg,"Scott Page Field, Vinor",Austria,bat,T20,2021,Luxembourg
2021-06-23,Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,T20,2021,England
2021-06-24,Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,T20,2021,England
2021-06-24,Greece,Romania,"National Sports Academy, Sofia",Greece,bat,T20,2021,Romania
2021-06-25,Bulgaria,Romania,"National Sports Academy, Sofia",Bulgaria,bat,T20,2021,Romania
2021-06-25,Serbia,Greece,"National Sports Academy, Sofia",Greece,field,T20,2021,Greece
2021-06-25,Romania,Serbia,"National Sports Academy, Sofia",Romania,bat,T20,2021,Romania
2021-06-26,Serbia,Romania,"National Sports Academy, Sofia",Serbia,bat,T20,2021,Romania
2021-06-26,Bulgaria,Greece,"National Sports Academy, Sofia",Greece,field,T20,2021,No Result
2021-06-26,England,Sri Lanka,"The Rose Bowl, Southampton",Sri Lanka,field,T20,2021,England
2021-06-26,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,West Indies
2021-06-27,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,South Africa
2021-06-29,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,South Africa
2021-07-01,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",South Africa,field,T20,2021,West Indies
2021-07-03,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",South Africa,bat,T20,2021,South Africa
2021-07-08,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Malta
2021-07-08,Malta,Belgium,Marsa Sports Club,Malta,bat,T20,2021,Belgium
2021-07-09,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,T20,2021,West Indies
2021-07-09,Malta,Belgium,Marsa Sports Club,Belgium,field,T20,2021,Belgium
2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Belgium
2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Malta
2021-07-10,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,T20,2021,West Indies
2021-07-12,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,T20,2021,West Indies
2021-07-14,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,T20,2021,Australia
2021-07-16,Pakistan,England,"Trent Bridge, Nottingham",England,field,T20,2021,Pakistan
2021-07-16,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,bat,T20,2021,West Indies
2021-07-18,England,Pakistan,"Headingley, Leeds",Pakistan,field,T20,2021,England
2021-07-19,South Africa,Ireland,"The Village, Malahide, Dublin",Ireland,field,T20,2021,South Africa
2021-07-20,Pakistan,England,"Old Trafford, Manchester",Pakistan,bat,T20,2021,England
2021-07-22,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,T20,2021,Bangladesh
2021-07-22,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,T20,2021,South Africa
2021-07-23,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,T20,2021,Zimbabwe
2021-07-24,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,T20,2021,South Africa
2021-07-25,India,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,T20,2021,India
